,ta,ts,speed,kp,kd-kvfb,kd-kvff,ki,simul_settling_time,trial_no,settling_time
0,30,20,100,20,500,500,0.004,0.1935,1,0.365
1,30,20,100,20,500,500,0.004,0.1935,2,0.262
2,30,20,100,20,500,500,0.004,0.1935,3,0.324
3,30,20,100,20,500,500,0.006,0.1894,1,0.301
4,30,20,100,20,500,500,0.006,0.1894,2,0.265
5,30,20,100,20,500,500,0.006,0.1894,3,0.214
6,30,20,100,20,500,500,0.008,0.0,1,1000
7,30,20,100,20,1000,1000,0.004,0.1951,1,0.258
8,30,20,100,20,1000,1000,0.004,0.1951,2,0.248
9,30,20,100,20,1000,1000,0.004,0.1951,3,0.26
10,30,20,100,20,1000,1000,0.006,0.1692,1,0.275
11,30,20,100,20,1000,1000,0.006,0.1692,2,0.224
12,30,20,100,20,1000,1000,0.006,0.1692,3,0.229
13,30,20,100,20,1000,1000,0.008,0.1738,1,0.224
14,30,20,100,20,1000,1000,0.008,0.1738,2,0.242
15,30,20,100,20,1000,1000,0.008,0.1738,3,0.219
16,30,20,100,20,1000,1000,0.01,0.1792,1,0.206
17,30,20,100,20,1000,1000,0.01,0.1792,2,0.21
18,30,20,100,20,1000,1000,0.01,0.1792,3,0.199
19,30,20,100,20,1000,1000,0.012,0.0,1,0.193
20,30,20,100,20,1000,1000,0.012,0.0,2,0.197
21,30,20,100,20,1000,1000,0.012,0.0,3,0.192
22,30,20,100,20,1000,1000,0.014,0.0,1,1000
23,30,20,100,20,1500,1500,0.004,0.1924,1,0.278
24,30,20,100,20,1500,1500,0.004,0.1924,2,0.333
25,30,20,100,20,1500,1500,0.004,0.1924,3,0.265
26,30,20,100,20,1500,1500,0.006,0.176,1,0.296
27,30,20,100,20,1500,1500,0.006,0.176,2,0.315
28,30,20,100,20,1500,1500,0.006,0.176,3,0.232
29,30,20,100,20,1500,1500,0.008,0.184,1,0.186
30,30,20,100,20,1500,1500,0.008,0.184,2,0.197
31,30,20,100,20,1500,1500,0.008,0.184,3,0.196
32,30,20,100,20,1500,1500,0.01,0.1843,1,0.225
33,30,20,100,20,1500,1500,0.01,0.1843,2,0.23
34,30,20,100,20,1500,1500,0.01,0.1843,3,0.227
35,30,20,100,20,1500,1500,0.012,0.0,1,0.202
36,30,20,100,20,1500,1500,0.012,0.0,2,0.206
37,30,20,100,20,1500,1500,0.012,0.0,3,0.228
38,30,20,100,20,2000,2000,0.004,0.1966,1,0.356
39,30,20,100,20,2000,2000,0.004,0.1966,2,0.39
40,30,20,100,20,2000,2000,0.004,0.1966,3,0.322
41,30,20,100,20,2000,2000,0.006,0.1853,1,0.24
42,30,20,100,20,2000,2000,0.006,0.1853,2,0.238
43,30,20,100,20,2000,2000,0.006,0.1853,3,0.23
44,30,20,100,20,2000,2000,0.008,0.1978,1,0.198
45,30,20,100,20,2000,2000,0.008,0.1978,2,0.202
46,30,20,100,20,2000,2000,0.008,0.1978,3,0.203
47,30,20,100,20,2000,2000,0.01,0.1947,1,0.245
48,30,20,100,20,2000,2000,0.01,0.1947,2,0.242
49,30,20,100,20,2000,2000,0.01,0.1947,3,0.243
50,30,20,100,20,2000,2000,0.012,0.1932,1,0.219
51,30,20,100,20,2000,2000,0.012,0.1932,2,0.223
52,30,20,100,20,2000,2000,0.012,0.1932,3,0.224
53,30,20,100,20,2000,2000,0.014,0.2031,1,0.208
54,30,20,100,20,2000,2000,0.014,0.2031,2,0.21
55,30,20,100,20,2000,2000,0.014,0.2031,3,0.201
56,30,20,100,20,2000,2000,0.016,0.2024,1,0.195
57,30,20,100,20,2000,2000,0.016,0.2024,2,0.202
58,30,20,100,20,2000,2000,0.016,0.2024,3,0.208
59,30,20,100,20,2000,2000,0.018,0.2023,1,0.199
60,30,20,100,20,2000,2000,0.018,0.2023,2,0.201
61,30,20,100,20,2000,2000,0.018,0.2023,3,0.202
62,30,20,100,20,2000,2000,0.02,0.2125,1,0.225
63,30,20,100,20,2000,2000,0.02,0.2125,2,0.22
64,30,20,100,20,2000,2000,0.02,0.2125,3,0.227
65,30,20,100,25,500,500,0.002,0.2305,1,0.333
66,30,20,100,25,500,500,0.002,0.2305,2,0.393
67,30,20,100,25,500,500,0.002,0.2305,3,0.291
68,30,20,100,25,500,500,0.003,0.2079,1,0.293
69,30,20,100,25,500,500,0.003,0.2079,2,0.278
70,30,20,100,25,500,500,0.003,0.2079,3,0.156
71,30,20,100,25,500,500,0.004,0.1889,1,0.256
72,30,20,100,25,500,500,0.004,0.1889,2,0.174
73,30,20,100,25,500,500,0.004,0.1889,3,0.243
74,30,20,100,25,500,500,0.005,0.1852,1,0.214
75,30,20,100,25,500,500,0.005,0.1852,2,0.199
76,30,20,100,25,500,500,0.005,0.1852,3,0.23
77,30,20,100,25,500,500,0.006,0.1846,1,0.242
78,30,20,100,25,500,500,0.006,0.1846,2,0.238
79,30,20,100,25,500,500,0.006,0.1846,3,0.237
80,30,20,100,25,500,500,0.007,0.0,1,1000
81,30,20,100,25,1000,1000,0.002,0.2317,1,0.327
82,30,20,100,25,1000,1000,0.002,0.2317,2,0.466
83,30,20,100,25,1000,1000,0.002,0.2317,3,0.329
84,30,20,100,25,1000,1000,0.003,0.2056,1,0.291
85,30,20,100,25,1000,1000,0.003,0.2056,2,0.255
86,30,20,100,25,1000,1000,0.003,0.2056,3,0.142
87,30,20,100,25,1000,1000,0.004,0.1905,1,0.246
88,30,20,100,25,1000,1000,0.004,0.1905,2,0.235
89,30,20,100,25,1000,1000,0.004,0.1905,3,0.229
90,30,20,100,25,1000,1000,0.005,0.1803,1,0.21
91,30,20,100,25,1000,1000,0.005,0.1803,2,0.21
92,30,20,100,25,1000,1000,0.005,0.1803,3,0.203
93,30,20,100,25,1000,1000,0.006,0.168,1,0.184
94,30,20,100,25,1000,1000,0.006,0.168,2,0.195
95,30,20,100,25,1000,1000,0.006,0.168,3,0.192
96,30,20,100,25,1000,1000,0.007,0.1644,1,0.168
97,30,20,100,25,1000,1000,0.007,0.1644,2,0.17
98,30,20,100,25,1000,1000,0.007,0.1644,3,0.175
99,30,20,100,25,1000,1000,0.008,0.1627,1,0.17
100,30,20,100,25,1000,1000,0.008,0.1627,2,0.171
101,30,20,100,25,1000,1000,0.008,0.1627,3,0.164
102,30,20,100,25,1000,1000,0.009,0.1617,1,0.175
103,30,20,100,25,1000,1000,0.009,0.1617,2,0.172
104,30,20,100,25,1000,1000,0.009,0.1617,3,0.17
105,30,20,100,25,1000,1000,0.01,1.1612,1,0.175
106,30,20,100,25,1000,1000,0.01,1.1612,2,0.183
107,30,20,100,25,1000,1000,0.01,1.1612,3,0.199
108,30,20,100,25,1500,1500,0.002,0.2333,1,0.317
109,30,20,100,25,1500,1500,0.002,0.2333,2,0.231
110,30,20,100,25,1500,1500,0.002,0.2333,3,0.319
111,30,20,100,25,1500,1500,0.003,0.2063,1,0.154
