ta,ts,speed,kp,kd-kvfb,kd-kvff,ki,simul_settling_time,trial_no,settling_time,
20,20,100,10,1400,1400,0.006,0.2304,1,0.586,
20,20,100,10,1400,1400,0.006,0.2304,2,0.563,
20,20,100,10,1400,1400,0.006,0.2304,3,0.588,
20,20,100,10,1400,1400,0.01,0.2685,1,0.264,
20,20,100,10,1400,1400,0.01,0.2685,2,0.272,
20,20,100,10,1400,1400,0.01,0.2685,3,0.272,
20,20,100,10,1400,1400,0.012,0.2884,1,0.325,
20,20,100,10,1400,1400,0.012,0.2884,2,0.339,
20,20,100,10,1400,1400,0.012,0.2884,3,0.336,
20,20,100,10,1400,1400,0.014,0.3097,1,0.273,
20,20,100,10,1400,1400,0.014,0.3097,2,0.281,
20,20,100,10,1400,1400,0.014,0.3097,3,0.275,
20,20,100,10,1400,1400,0.016,0.3434,1,0.257,
20,20,100,10,1400,1400,0.016,0.3434,2,0.256,
20,20,100,10,1400,1400,0.016,0.3434,3,0.267,
20,20,100,10,1400,1400,0.02,0.4048,1,발산,
20,20,100,10,1400,1400,0.02,0.4048,2,발산,
20,20,100,10,1400,1400,0.02,0.4048,3,발산,
20,20,100,10,1500,1500,0.006,0.2362,1,0.573,
20,20,100,10,1500,1500,0.006,0.2362,2,0.591,
20,20,100,10,1500,1500,0.006,0.2362,3,0.568,
20,20,100,10,1500,1500,0.01,0.2733,1,0.403,
20,20,100,10,1500,1500,0.01,0.2733,2,0.409,
20,20,100,10,1500,1500,0.01,0.2733,3,0.403,
20,20,100,10,1500,1500,0.012,0.2929,1,0.351,
20,20,100,10,1500,1500,0.012,0.2929,2,0.352,
20,20,100,10,1500,1500,0.012,0.2929,3,0.345,
20,20,100,10,1500,1500,0.014,0.3125,1,0.352,
20,20,100,10,1500,1500,0.014,0.3125,2,0.349,
20,20,100,10,1500,1500,0.014,0.3125,3,0.355,
20,20,100,10,1500,1500,0.016,0.3334,1,0.331,
20,20,100,10,1500,1500,0.016,0.3334,2,0.318,
