,ta,ts,speed,SLPKP,SLPKI,SLVKP,SLVKI,simul_settling_time,trial_no,settling_time,inposstability
0,40,40,100,10.0,0,70,400,,1,0.279,0.2909
1,40,40,100,10.0,0,70,400,,2,0.203,0.2729
2,40,40,100,10.0,0,70,400,,3,0.281,0.2596
3,40,40,100,20.0,0,70,400,,1,0.227,0.284
4,40,40,100,30.0,0,70,400,,1,0.199,0.2538
5,40,40,100,40.0,0,70,400,,1,0.187,0.2689
6,40,40,100,50.0,0,50,300,,1,0.191,0.2496
7,40,40,100,50.0,0,50,400,,1,0.191,0.2626
8,40,40,100,50.0,0,50,500,,1,0.192,0.2573
9,40,40,100,50.0,0,50,600,,1,0.192,0.2656
10,40,40,100,50.0,0,50,300,,2,0.191,0.2891
11,40,40,100,50.0,0,50,600,,2,0.191,0.2962
12,40,40,100,50.0,0,50,300,,3,0.19,0.2997
13,40,40,100,50.0,0,50,600,,3,0.19,0.2752
14,40,40,100,50.0,0,50,600,,4,0.191,0.2772
15,40,40,100,50.0,0,50,900,,1,0.191,0.2811
16,40,40,100,50.0,0,50,600,,5,0.19,0.252
17,40,40,100,50.0,0,50,900,,2,0.191,0.2647
18,40,40,100,50.0,0,50,600,,6,0.191,0.2701
19,40,40,100,50.0,0,50,900,,3,0.19,0.2931
20,40,40,100,50.0,0,70,400,,1,0.175,0.2706
21,40,40,100,50.0,0,70,300,,1,0.175,0.2863
22,40,40,100,50.0,0,70,400,,2,0.174,0.2852
23,40,40,100,50.0,0,70,500,,1,0.175,0.2731
24,40,40,100,50.0,0,70,600,,1,0.175,0.2685
25,40,40,100,50.0,0,70,300,,2,0.174,0.2699
26,40,40,100,50.0,0,70,600,,2,0.173,0.2873
27,40,40,100,50.0,0,70,300,,3,0.173,0.3264
28,40,40,100,50.0,0,70,600,,3,0.174,0.2886
29,40,40,100,50.0,0,70,600,,4,0.174,0.292
30,40,40,100,50.0,0,70,900,,1,0.174,0.2823
31,40,40,100,50.0,0,70,600,,5,0.173,0.261
32,40,40,100,50.0,0,70,900,,2,0.174,0.2644
33,40,40,100,50.0,0,70,600,,6,0.173,0.2862
34,40,40,100,50.0,0,70,900,,3,0.173,0.3611
35,40,40,100,50.0,0,90,300,,1,0.174,0.2547
36,40,40,100,50.0,0,90,400,,1,0.173,0.2591
37,40,40,100,50.0,0,90,500,,1,0.174,0.2699
38,40,40,100,50.0,0,90,600,,1,0.173,0.2677
39,40,40,100,50.0,0,90,300,,2,0.172,0.2718
40,40,40,100,50.0,0,90,300,,3,0.172,0.3484
41,40,40,100,50.0,0,90,600,,2,0.172,0.2704
42,40,40,100,50.0,0,90,600,,3,0.173,0.285
43,40,40,100,50.0,0,90,900,,1,0.174,0.2948
44,40,40,100,50.0,0,90,600,,4,0.173,0.2738
45,40,40,100,50.0,0,90,900,,2,0.173,0.288
46,40,40,100,50.0,0,90,600,,5,0.172,0.2826
47,40,40,100,50.0,0,90,900,,3,0.172,0.2898
48,40,40,100,50.0,0,110,300,,1,0.173,0.2848
49,40,40,100,50.0,0,110,400,,1,0.173,0.2807
50,40,40,100,50.0,0,110,500,,1,0.173,0.2687
51,40,40,100,50.0,0,110,600,,1,0.173,0.3025
52,40,40,100,50.0,0,110,300,,2,0.172,0.2978
53,40,40,100,50.0,0,110,600,,2,0.172,0.3155
54,40,40,100,50.0,0,110,300,,3,0.172,0.2841
55,40,40,100,50.0,0,110,600,,3,0.172,0.2929
56,40,40,100,50.0,0,110,900,,1,0.172,0.2985
57,40,40,100,50.0,0,110,600,,4,0.172,0.3105
58,40,40,100,50.0,0,110,900,,2,0.172,0.3029
59,40,40,100,50.0,0,110,900,,3,0.172,0.3247
60,40,40,100,50.0,0,130,600,,1,0.173,0.2923
61,40,40,100,50.0,0,130,900,,1,0.172,0.3113
62,40,40,100,50.0,0,130,600,,2,0.172,0.3432
63,40,40,100,50.0,0,130,900,,2,0.172,0.2919
64,40,40,100,50.0,0,130,600,,3,0.172,0.3536
65,40,40,100,50.0,0,130,900,,3,0.172,0.3493
66,40,40,100,60.0,0,70,400,,1,0.173,0.2512
67,40,40,100,70.0,0,50,300,,1,0.174,0.2668
68,40,40,100,70.0,0,50,400,,1,0.175,0.2571
69,40,40,100,70.0,0,50,500,,1,0.174,0.2556
70,40,40,100,70.0,0,50,600,,1,0.174,0.2653
71,40,40,100,70.0,0,50,300,,2,0.173,0.291
72,40,40,100,70.0,0,50,600,,2,0.174,0.2845
73,40,40,100,70.0,0,50,300,,3,0.173,0.295
74,40,40,100,70.0,0,50,600,,3,0.173,0.2935
75,40,40,100,70.0,0,50,600,,4,0.173,0.2988
76,40,40,100,70.0,0,50,900,,1,0.173,0.2713
77,40,40,100,70.0,0,50,600,,5,0.173,0.266
78,40,40,100,70.0,0,50,900,,2,0.173,0.2745
79,40,40,100,70.0,0,50,600,,6,0.173,0.3161
80,40,40,100,70.0,0,50,900,,3,0.174,0.3258
81,40,40,100,70.0,0,70,400,,1,0.172,0.2689
82,40,40,100,70.0,0,70,300,,1,0.173,0.2665
83,40,40,100,70.0,0,70,400,,2,0.172,0.2672
84,40,40,100,70.0,0,70,500,,1,0.173,0.2601
85,40,40,100,70.0,0,70,600,,1,0.173,0.2596
86,40,40,100,70.0,0,70,300,,2,0.172,0.2932
87,40,40,100,70.0,0,70,600,,2,0.172,0.2939
88,40,40,100,70.0,0,70,300,,3,0.172,0.2864
89,40,40,100,70.0,0,70,600,,3,0.172,0.2663
90,40,40,100,70.0,0,70,900,,1,0.172,0.2866
91,40,40,100,70.0,0,70,600,,4,0.172,0.277
92,40,40,100,70.0,0,70,900,,2,0.172,0.2998
93,40,40,100,70.0,0,70,600,,5,0.172,0.2793
94,40,40,100,70.0,0,70,900,,3,0.172,0.3191
95,40,40,100,70.0,0,90,300,,1,0.173,0.2971
96,40,40,100,70.0,0,90,400,,1,0.173,0.2846
97,40,40,100,70.0,0,90,500,,1,0.173,0.2816
98,40,40,100,70.0,0,90,600,,1,0.172,0.2853
99,40,40,100,70.0,0,90,300,,2,0.173,0.3101
100,40,40,100,70.0,0,90,600,,2,0.172,0.3001
101,40,40,100,70.0,0,90,300,,3,0.172,0.3271
102,40,40,100,70.0,0,90,600,,3,0.172,0.3208
103,40,40,100,70.0,0,90,600,,4,0.173,0.3035
104,40,40,100,70.0,0,90,900,,1,0.172,0.2822
105,40,40,100,70.0,0,90,600,,5,0.172,0.2745
106,40,40,100,70.0,0,90,900,,2,0.172,0.2858
107,40,40,100,70.0,0,90,600,,6,0.172,0.3284
108,40,40,100,70.0,0,90,900,,3,0.172,0.3224
109,40,40,100,70.0,0,110,300,,1,0.173,0.2879
110,40,40,100,70.0,0,110,400,,1,0.173,0.299
111,40,40,100,70.0,0,110,500,,1,0.172,0.28
112,40,40,100,70.0,0,110,600,,1,0.173,0.3107
113,40,40,100,70.0,0,110,300,,2,0.172,0.2839
114,40,40,100,70.0,0,110,600,,2,0.172,0.2897
115,40,40,100,70.0,0,110,300,,3,0.173,0.3115
116,40,40,100,70.0,0,110,600,,3,0.172,0.3103
117,40,40,100,70.0,0,110,900,,1,0.172,0.2593
118,40,40,100,70.0,0,110,600,,4,0.172,0.2708
119,40,40,100,70.0,0,110,900,,2,0.172,0.2765
120,40,40,100,70.0,0,110,600,,5,0.172,0.3064
121,40,40,100,70.0,0,110,900,,3,0.172,0.3445
