,ta,ts,speed,kp,kd-kvfb,kd-kvff,ki,simul_settling_time,trial_no,settling_time,Unnamed: 10
0,20.0,20.0,100.0,10.0,1400.0,1400.0,0.006,0.2304,1.0,0.586,
1,20.0,20.0,100.0,10.0,1400.0,1400.0,0.006,0.2304,2.0,0.563,
2,20.0,20.0,100.0,10.0,1400.0,1400.0,0.006,0.2304,3.0,0.588,
3,20.0,20.0,100.0,10.0,1400.0,1400.0,0.01,0.2685,1.0,0.264,
4,20.0,20.0,100.0,10.0,1400.0,1400.0,0.01,0.2685,2.0,0.272,
5,20.0,20.0,100.0,10.0,1400.0,1400.0,0.01,0.2685,3.0,0.272,
6,20.0,20.0,100.0,10.0,1400.0,1400.0,0.012,0.2884,1.0,0.325,
7,20.0,20.0,100.0,10.0,1400.0,1400.0,0.012,0.2884,2.0,0.339,
8,20.0,20.0,100.0,10.0,1400.0,1400.0,0.012,0.2884,3.0,0.336,
9,20.0,20.0,100.0,10.0,1400.0,1400.0,0.014,0.3097,1.0,0.273,
10,20.0,20.0,100.0,10.0,1400.0,1400.0,0.014,0.3097,2.0,0.281,
11,20.0,20.0,100.0,10.0,1400.0,1400.0,0.014,0.3097,3.0,0.275,
12,20.0,20.0,100.0,10.0,1400.0,1400.0,0.016,0.3434,1.0,0.257,
13,20.0,20.0,100.0,10.0,1400.0,1400.0,0.016,0.3434,2.0,0.256,
14,20.0,20.0,100.0,10.0,1400.0,1400.0,0.016,0.3434,3.0,0.267,
18,20.0,20.0,100.0,10.0,1500.0,1500.0,0.006,0.2362,1.0,0.573,
19,20.0,20.0,100.0,10.0,1500.0,1500.0,0.006,0.2362,2.0,0.591,
20,20.0,20.0,100.0,10.0,1500.0,1500.0,0.006,0.2362,3.0,0.568,
21,20.0,20.0,100.0,10.0,1500.0,1500.0,0.01,0.2733,1.0,0.403,
22,20.0,20.0,100.0,10.0,1500.0,1500.0,0.01,0.2733,2.0,0.409,
23,20.0,20.0,100.0,10.0,1500.0,1500.0,0.01,0.2733,3.0,0.403,
24,20.0,20.0,100.0,10.0,1500.0,1500.0,0.012,0.2929,1.0,0.351,
25,20.0,20.0,100.0,10.0,1500.0,1500.0,0.012,0.2929,2.0,0.352,
26,20.0,20.0,100.0,10.0,1500.0,1500.0,0.012,0.2929,3.0,0.345,
27,20.0,20.0,100.0,10.0,1500.0,1500.0,0.014,0.3125,1.0,0.352,
28,20.0,20.0,100.0,10.0,1500.0,1500.0,0.014,0.3125,2.0,0.349,
29,20.0,20.0,100.0,10.0,1500.0,1500.0,0.014,0.3125,3.0,0.355,
30,20.0,20.0,100.0,10.0,1500.0,1500.0,0.016,0.3334,1.0,0.331,
31,20.0,20.0,100.0,10.0,1500.0,1500.0,0.016,0.3334,2.0,0.318,
32,20.0,20.0,100.0,10.0,1500.0,1500.0,0.016,0.3334,3.0,0.328,
33,20.0,20.0,100.0,10.0,1500.0,1500.0,0.02,0.3888,1.0,0.347,
34,20.0,20.0,100.0,10.0,1500.0,1500.0,0.02,0.3888,2.0,0.341,
35,20.0,20.0,100.0,10.0,1500.0,1500.0,0.02,0.3888,3.0,0.346,
36,20.0,20.0,100.0,10.0,1600.0,1600.0,0.006,0.2442,1.0,0.574,
37,20.0,20.0,100.0,10.0,1600.0,1600.0,0.006,0.2442,2.0,0.586,
38,20.0,20.0,100.0,10.0,1600.0,1600.0,0.006,0.2442,3.0,0.601,
39,20.0,20.0,100.0,10.0,1600.0,1600.0,0.01,0.2782,1.0,0.372,
40,20.0,20.0,100.0,10.0,1600.0,1600.0,0.01,0.2782,2.0,0.372,
41,20.0,20.0,100.0,10.0,1600.0,1600.0,0.01,0.2782,3.0,0.366,
42,20.0,20.0,100.0,10.0,1600.0,1600.0,0.012,0.2976,1.0,0.349,
43,20.0,20.0,100.0,10.0,1600.0,1600.0,0.012,0.2976,2.0,0.361,
44,20.0,20.0,100.0,10.0,1600.0,1600.0,0.012,0.2976,3.0,0.354,
45,20.0,20.0,100.0,10.0,1600.0,1600.0,0.014,0.3169,1.0,0.335,
46,20.0,20.0,100.0,10.0,1600.0,1600.0,0.014,0.3169,2.0,0.33,
47,20.0,20.0,100.0,10.0,1600.0,1600.0,0.014,0.3169,3.0,0.333,
48,20.0,20.0,100.0,10.0,1600.0,1600.0,0.016,0.3362,1.0,0.339,
49,20.0,20.0,100.0,10.0,1600.0,1600.0,0.016,0.3362,2.0,0.343,
50,20.0,20.0,100.0,10.0,1600.0,1600.0,0.016,0.3362,3.0,0.335,
51,20.0,20.0,100.0,10.0,1600.0,1600.0,0.02,0.3894,1.0,0.318,
52,20.0,20.0,100.0,10.0,1600.0,1600.0,0.02,0.3894,2.0,0.332,
53,20.0,20.0,100.0,10.0,1600.0,1600.0,0.02,0.3894,3.0,0.317,
54,20.0,20.0,100.0,10.0,1700.0,1700.0,0.006,0.2629,1.0,0.57,
55,20.0,20.0,100.0,10.0,1700.0,1700.0,0.006,0.2629,2.0,0.568,
56,20.0,20.0,100.0,10.0,1700.0,1700.0,0.006,0.2629,3.0,0.551,
57,20.0,20.0,100.0,10.0,1700.0,1700.0,0.01,0.283,1.0,0.31,
58,20.0,20.0,100.0,10.0,1700.0,1700.0,0.01,0.283,2.0,0.313,
59,20.0,20.0,100.0,10.0,1700.0,1700.0,0.01,0.283,3.0,0.317,
60,20.0,20.0,100.0,10.0,1700.0,1700.0,0.012,0.3022,1.0,0.259,
61,20.0,20.0,100.0,10.0,1700.0,1700.0,0.012,0.3022,2.0,0.266,
62,20.0,20.0,100.0,10.0,1700.0,1700.0,0.012,0.3022,3.0,0.264,
63,20.0,20.0,100.0,10.0,1700.0,1700.0,0.014,0.3215,1.0,0.313,
64,20.0,20.0,100.0,10.0,1700.0,1700.0,0.014,0.3215,2.0,0.301,
65,20.0,20.0,100.0,10.0,1700.0,1700.0,0.014,0.3215,3.0,0.307,
66,20.0,20.0,100.0,10.0,1700.0,1700.0,0.016,0.3406,1.0,0.343,
67,20.0,20.0,100.0,10.0,1700.0,1700.0,0.016,0.3406,2.0,0.351,
68,20.0,20.0,100.0,10.0,1700.0,1700.0,0.016,0.3406,3.0,0.351,
69,20.0,20.0,100.0,10.0,1700.0,1700.0,0.02,0.3792,1.0,0.361,
70,20.0,20.0,100.0,10.0,1700.0,1700.0,0.02,0.3792,2.0,0.352,
71,20.0,20.0,100.0,10.0,1700.0,1700.0,0.02,0.3792,3.0,0.366,
72,20.0,20.0,100.0,10.0,2000.0,2000.0,0.006,0.2846,1.0,0.392,
73,20.0,20.0,100.0,10.0,2000.0,2000.0,0.006,0.2846,2.0,0.396,
74,20.0,20.0,100.0,10.0,2000.0,2000.0,0.006,0.2846,3.0,0.389,
75,20.0,20.0,100.0,10.0,2000.0,2000.0,0.01,0.2964,1.0,0.342,
76,20.0,20.0,100.0,10.0,2000.0,2000.0,0.01,0.2964,2.0,0.326,
77,20.0,20.0,100.0,10.0,2000.0,2000.0,0.01,0.2964,3.0,0.341,
78,20.0,20.0,100.0,10.0,2000.0,2000.0,0.012,0.3147,1.0,0.369,
79,20.0,20.0,100.0,10.0,2000.0,2000.0,0.012,0.3147,2.0,0.373,
80,20.0,20.0,100.0,10.0,2000.0,2000.0,0.012,0.3147,3.0,0.36,
81,20.0,20.0,100.0,10.0,2000.0,2000.0,0.014,0.3312,1.0,0.363,
82,20.0,20.0,100.0,10.0,2000.0,2000.0,0.014,0.3312,2.0,0.366,
83,20.0,20.0,100.0,10.0,2000.0,2000.0,0.014,0.3312,3.0,0.35,
84,20.0,20.0,100.0,10.0,2000.0,2000.0,0.016,0.3465,1.0,0.281,
85,20.0,20.0,100.0,10.0,2000.0,2000.0,0.016,0.3465,2.0,0.287,
86,20.0,20.0,100.0,10.0,2000.0,2000.0,0.016,0.3465,3.0,0.29,
87,20.0,20.0,100.0,10.0,2000.0,2000.0,0.02,0.3901,1.0,0.353,
88,20.0,20.0,100.0,10.0,2000.0,2000.0,0.02,0.3901,2.0,0.362,
89,20.0,20.0,100.0,10.0,2000.0,2000.0,0.02,0.3901,3.0,0.366,
90,,,,,,,,,,,
91,20.0,20.0,100.0,20.0,1400.0,1400.0,0.006,0.1669,1.0,0.334,
92,20.0,20.0,100.0,20.0,1400.0,1400.0,0.006,0.1669,2.0,0.336,
93,20.0,20.0,100.0,20.0,1400.0,1400.0,0.006,0.1669,3.0,0.32,
94,20.0,20.0,100.0,20.0,1400.0,1400.0,0.01,0.1788,1.0,0.211,
95,20.0,20.0,100.0,20.0,1400.0,1400.0,0.01,0.1788,2.0,0.214,
96,20.0,20.0,100.0,20.0,1400.0,1400.0,0.01,0.1788,3.0,0.206,
97,20.0,20.0,100.0,20.0,1400.0,1400.0,0.012,0.1909,1.0,0.196,
98,20.0,20.0,100.0,20.0,1400.0,1400.0,0.012,0.1909,2.0,0.198,
99,20.0,20.0,100.0,20.0,1400.0,1400.0,0.012,0.1909,3.0,0.201,
100,20.0,20.0,100.0,20.0,1400.0,1400.0,0.014,0.2034,1.0,0.212,
101,20.0,20.0,100.0,20.0,1400.0,1400.0,0.014,0.2034,2.0,0.222,
102,20.0,20.0,100.0,20.0,1400.0,1400.0,0.014,0.2034,3.0,0.213,
103,20.0,20.0,100.0,20.0,1400.0,1400.0,0.016,0.2163,1.0,0.21,
